PROP_MAN 11.0
2017         0.000  14212800.000   1296000.000  M50 FT FPS SEC
 14242800.000   16433340.351955   14515609.103915   -3828085.879631  -7896.537080  14027.806644  19332.541063  907581.4
 14243040.000   13960009.382891   17309943.051302     895292.799446 -12588.297485   9114.842952  19786.440507  907581.4
 14243280.000   10464784.150260   18837135.835195    5552909.700025 -16359.538003   3533.605556  18787.821944  907581.4
 14243520.000    6203538.387224   18985462.710002    9802885.029353 -18932.462183  -2304.662835  16410.620714  907581.4
 14243760.000    1488379.681520   17744713.948611   13333598.963634 -20119.141128  -7970.737483  12831.270050  907581.4
 14244000.000   -3335663.041286   15206551.970979   15886681.105998 -19834.583212 -13050.255714   8313.999560  907581.4
 14244240.000   -7916037.171413   11557289.002316   17275689.541151 -18101.278546 -17173.455617   3190.294215  907581.4
 14244480.000  -11918315.463803    7063950.145539   17399402.216474 -15046.606244 -20041.495648  -2165.645492  907581.4
 14244720.000  -15050224.754633    2054708.596098   16248825.285951 -10892.319228 -21446.323273  -7363.873195  907581.4
 14244960.000  -17082606.704212   -3104650.627103   13907799.046327  -5939.737188 -21284.523244 -12025.160448  907581.4
 14245200.000  -17866189.177517   -8037017.765383   10547220.422991   -549.400709 -19566.005815 -15807.692479  907581.4
 14245440.000  -17342822.247597  -12381421.384976    6412943.887846   4884.460198 -16414.694713 -18432.595903  907581.4
 14245680.000  -15550175.920170  -15819627.126729    1808017.923863   9962.565523 -12060.873858 -19705.324684  907581.4
 14245920.000  -12619323.104247  -18099897.722486   -2929607.116561  14310.863260  -6824.976572 -19531.654902  907581.4
 14246160.000   -8765121.875723  -19055840.369962   -7452294.949530  17609.800555  -1093.110903 -17925.559036  907581.4
 14246400.000   -4270073.985382  -18618646.575731  -11428665.052333  19618.784399   4712.957133 -15007.559970  907581.4
 14246640.000     536883.167248  -16821744.649414  -14568102.033173  20193.652751  10168.462736 -10994.403487  907581.4
 14246880.000    5304749.644483  -13797689.011769  -16641832.410089  19295.498012  14877.067098  -6181.297330  907581.4
 14247120.000    9686009.735288   -9767928.851839  -17499141.592151  16991.799546  18498.605565   -919.449575  907581.4
 14247360.000   13361544.122802   -5026476.109130  -17077819.500328  13450.186786  20771.902356   4409.109421  907581.4
 14247600.000   16063333.780069      81247.444619  -15408408.252326   8926.378728  21532.097149   9417.910292  907581.4
 14247840.000   17593625.997952    5182998.381193  -12612097.228682   3746.967166  20721.924093  13742.371613  907581.4
 14248080.000   17839428.786737    9906286.661767   -8892394.432533  -1712.267578  18396.953126  17065.164888  907581.4
 14248320.000   16781286.998138   13905423.975756   -4520904.488910  -7052.321474  14723.975664  19139.929613  907581.4
 14248560.000   14495387.853587   16887145.415116     182223.595712 -11880.218256   9970.629968  19811.376186  907581.4
 14248800.000   11148422.472089   18632685.501311    4871925.699179 -15839.769488   4486.128424  19028.604943  907581.4
 14249040.000    6985340.500477   19014250.311360    9203953.700168 -18639.214468  -1325.541401  16849.328869  907581.4
 14249280.000    2311081.376591   18004484.548512   12860580.792163 -20073.572923  -7036.810147  13435.331376  907581.4
 14249520.000   -2532217.579566   15678171.959169   15574144.998098 -20039.594560 -12229.544141   9039.097896  907581.4
 14249760.000   -7190533.163972   12206209.172908   17146468.300915 -18541.774082 -16525.686528   3983.422919  907581.4
 14250000.000  -11323720.089702    7842743.998047   17462920.185173 -15690.363808 -19613.524174  -1362.411115  907581.4
 14250240.000  -14629998.213828    2906565.085473   16500484.697651 -11692.830728 -21269.216496  -6608.825275  907581.4
 14250480.000  -16867601.630181   -2241921.565090   14329324.403405  -6838.970657 -21371.696854 -11373.355715  907581.4
 14250720.000  -17872325.234628   -7226538.964704   11107889.257511  -1481.672412 -19911.624264 -15307.160943  907581.4
 14250960.000  -17569827.564857  -11682583.227817    7071754.056283   3987.511022 -16993.725604 -18120.395262  907581.4
 14251200.000  -15981552.858661  -15283681.707706    2516677.902125   9166.946341 -12830.906620 -19604.714293  907581.4
 14251440.000  -13223521.892653  -17766122.997694   -2223102.653287  13675.202169  -7729.258179 -19650.081459  907581.4
 14251680.000   -9497879.770298  -18948610.734802   -6799758.645726  17180.713005  -2065.036412 -18254.043530  907581.4
 14251920.000   -5077734.064135  -18745669.075741  -10877866.375947  19427.455543   3744.789271 -15521.593783  907581.4
 14252160.000    -286633.840212  -17173566.503895  -14159250.043661  20253.559507   9274.735232 -11655.964423  907581.4
 14252400.000    4525464.699959  -14348493.938053  -16404697.564156  19601.879316  14122.698159  -6941.925609  907581.4
 14252640.000    9007746.679613  -10477472.176657  -17450947.097442  17522.113283  17938.186065  -1723.715760  907581.4
 14252880.000   12833718.351452   -5843027.930246  -17222044.799740  14165.878083  20446.004247   3619.656053  907581.4
 14253120.000   15724445.566860    -782827.531805  -15734556.106176   9775.608896  21464.416056   8700.580744  907581.4
 14253360.000   17468504.516547    4334387.857196  -13096454.581952   4668.302993  20917.797048  13149.376513  907581.4
 14253600.000   17937409.398683    9135144.433525   -9499671.327779   -785.838197  18842.797032  16640.231063  907581.4
 14253840.000   17095395.340328   13268233.164388   -5206679.147507  -6188.824239  15387.556895  18914.846528  907581.4
 14254080.000   15002731.031344   16430611.517368    -531735.253995 -11143.401453  10803.202852  19803.039421  907581.4
 14254320.000   11811855.695019   18390215.003544    4182193.580652 -15283.856290   5426.392695  19237.566162  907581.4
 14254560.000    7756256.039418   19003499.561364    8589049.805633 -18304.933038   -346.704035  17260.050387  907581.4
 14254800.000    3133016.310288   18226097.552096   12365556.788177 -19985.262968  -6091.194494  14017.391815  907581.4
 14255040.000   -1719403.741663   16115779.409663   15235183.964661 -20203.380502 -11386.216324   9749.535669  907581.4
 14255280.000   -6446222.815723   12827705.200670   16988284.918932 -18945.306763 -15845.934372   4770.258261  907581.4
 14255520.000  -10702238.663663    8602675.800525   17497050.739428 -16304.156587 -19146.680041   -556.441030  907581.4
 14255760.000  -14176733.474168    3749435.778517   16724449.575924 -12472.319333 -21049.099586  -5842.513175  907581.4
 14256000.000  -16615754.070340   -1377630.304530   14726806.516250  -7727.747938 -21414.458137 -10702.570272  907581.4
 14256240.000  -17840491.968478   -6403977.754695   11649892.967859  -2415.139146 -20214.582890 -14781.031489  907581.4
 14256480.000  -17760563.222323  -10961975.922534    7718656.080086   3077.672245 -17535.218740 -17777.812843  907581.4
 14256720.000  -16381074.530869  -14717869.570921    3221076.666679   8347.664628 -13571.435131 -19471.163967  907581.4
 14256960.000  -13802667.078237  -17396600.529221   -1512898.619259  13006.879338  -8614.351533 -19735.547850  907581.4
 14257200.000  -10214261.029298  -18802411.037208   -6135864.432470  16712.425216  -3029.471097 -18552.060082  907581.4
 14257440.000   -5878923.967485  -18833397.060876  -10308928.999196  19193.297535   2771.825799 -16009.958602  907581.4
 14257680.000   -1114073.004253  -17488684.077931  -13726874.488573  20270.236663   8364.364312 -12298.575824  907581.4
 14257920.000    3732151.238976  -14867903.432464  -16140436.047473  19867.797594  13340.983922  -7691.682208  907581.4
 14258160.000    8306386.891279  -11163271.883671  -17374078.590828  18017.797172  17341.751429  -2526.033355  907581.4
 14258400.000   12275449.816741   -6645258.941961  -17338220.878814  14855.383490  20078.101060   2823.071696  907581.4
